subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,r
1,audio,different_sds,2,3,1,3148.994791,3.00E-04,2,137.4276984,1,3,7
1,audio,different_sds,1,2,0,2154.017117,2.00E-04,2,193.6319558,0,2,3
1,audio,different_sds,2,2,1,2252.628488,2.00E-04,2,195.1960327,1,2,6
1,audio,different_sds,1,2,1,2712.253348,3.00E-04,1,193.7482259,1,3,3
1,audio,different_sds,1,2,1,2958.196661,3.00E-04,1,192.1664354,0,3,3
2,audio,different_sds,2,3,1,3327.791049,0.02,2,104.9222782,1,4,7
2,audio,different_sds,2,1,1,2301.282099,2.00E-04,2,356.603044,1,2,5
2,audio,different_sds,2,3,1,2242.093059,2.00E-04,2,323.2925794,1,2,7
2,audio,different_sds,2,1,0,2925.502956,2.00E-04,1,5.741567385,1,2,5
2,audio,different_sds,1,2,1,2566.612022,2.00E-04,1,205.1164744,1,2,3
2,audio,different_sds,2,1,0,2811.151177,4.00E-05,1,157.6518691,0,1,5
3,audio,different_sds,1,1,1,2894.161968,2.00E-04,1,335.0147018,1,2,4
3,audio,different_sds,1,1,0,3312.895225,4.00E-05,2,177.2115096,0,1,4
3,audio,different_sds,2,1,1,3207.181337,2.00E-04,2,176.1104533,1,2,5
3,audio,different_sds,1,3,1,2728.782509,3.00E-04,1,204.9303898,1,3,2
3,audio,different_sds,1,1,1,2911.111337,4.00E-05,1,156.9708559,1,1,4
3,audio,different_sds,2,1,0,2863.121543,2.00E-04,1,215.5788235,0,2,5
4,audio,different_sds,1,2,1,2748.002347,0.02,1,187.7660009,1,4,3
4,audio,different_sds,1,1,0,2746.639629,2.00E-04,2,149.1261105,1,2,4
4,audio,different_sds,2,1,0,2394.090347,3.00E-04,1,345.5875676,1,3,5
4,audio,different_sds,1,3,1,2638.596819,2.00E-04,1,200.7775158,1,2,2
4,audio,different_sds,2,1,1,3337.889491,2.00E-04,2,219.1724093,1,2,5
4,audio,different_sds,1,1,0,2250.57109,4.00E-05,2,59.16088905,0,1,4
1,audio,different_sds,2,2,1,2171.802176,2.00E-04,2,58.80253857,1,2,6
1,audio,different_sds,1,1,1,2653.048473,4.00E-05,1,326.1827804,1,1,4
1,audio,different_sds,1,1,0,2822.233192,4.00E-05,2,231.8803077,1,1,4
1,audio,different_sds,2,1,1,2519.689647,4.00E-05,2,335.3453882,0,1,5
1,audio,different_sds,1,2,1,2628.018607,3.00E-04,1,14.72054256,1,3,3
