subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
4,visual,different_sds,1,2,0,-6.4110577,0.05,2,143.8734961,0,3,2
5,visual,different_sds,1,2,1,-0.643538528,0.067,1,91.96175198,1,3,3
5,visual,different_sds,2,1,1,-8.586662779,0.05,2,123.2162854,1,5,2
5,visual,different_sds,1,2,1,0.992643007,0.067,1,347.2376194,1,3,3
5,visual,different_sds,1,1,1,0.234897176,0.067,1,12.91468796,1,4,3
5,visual,different_sds,1,2,0,4.727889017,0.067,2,228.633346,1,3,3
5,visual,different_sds,1,2,0,-11.48609949,0.05,2,289.5594032,0,3,2
6,visual,different_sds,1,2,0,5.883091483,0.067,2,138.5601138,0,3,3
6,visual,different_sds,1,1,1,1.966098857,0.05,1,262.6423758,1,4,2
6,visual,different_sds,1,2,1,1.621371923,0.067,1,56.58358238,1,3,3
6,visual,different_sds,1,2,1,3.310408497,0.033,1,306.3757591,1,3,1
6,visual,different_sds,2,3,1,21.42491218,0.135,2,352.4048286,1,7,4
6,visual,different_sds,2,3,1,-16.14317891,0.067,2,42.11619176,1,7,3
7,visual,different_sds,1,1,1,4.957250542,0.05,1,33.27024739,1,4,2
7,visual,different_sds,2,1,1,-24.61364115,0.05,2,21.17331402,1,5,2
7,visual,different_sds,1,2,1,-0.51752023,0.135,1,126.6799033,1,3,4
7,visual,different_sds,2,4,1,-14.02203656,0.05,2,333.3415042,1,8,2
7,visual,different_sds,1,2,1,4.51506174,0.067,1,236.1499541,1,3,3
7,visual,different_sds,1,1,0,7.581559859,0.05,2,41.6206991,0,4,2
8,visual,different_sds,2,2,1,33.94807598,0.135,2,135.5052996,1,6,4
8,visual,different_sds,2,4,0,5.960836045,0.135,1,208.8102296,1,8,4
8,visual,different_sds,1,1,0,-0.46055081,0.033,2,328.1126777,1,4,1
8,visual,different_sds,2,4,1,-4.922452808,0.135,2,314.7617305,0,8,4
8,visual,different_sds,1,2,1,1.998938411,0.135,1,268.9629944,1,3,4
8,visual,different_sds,2,3,0,2.216449779,0.135,1,148.9869345,0,7,4
1,visual,different_sds,2,1,1,14.77873934,0.067,2,293.5573912,1,5,3
1,visual,different_sds,1,1,0,9.379034565,0.033,2,168.6108991,0,4,1
1,visual,different_sds,1,1,0,1.230413734,0.135,2,235.2017696,1,4,4
1,visual,different_sds,1,1,1,-3.335755915,0.135,1,68.79883683,1,4,4
1,visual,different_sds,1,1,1,2.003367026,0.05,1,54.93181149,1,4,2
1,visual,different_sds,1,1,1,-1.662226246,0.135,1,291.1397372,1,4,4
2,visual,different_sds,1,1,0,23.12905954,0.05,2,42.66388755,0,4,2
2,visual,different_sds,2,1,1,7.107570229,0.033,2,358.4389598,1,5,1
2,visual,different_sds,1,1,0,7.469916961,0.067,2,143.652004,0,4,3
2,visual,different_sds,2,1,1,4.070056041,0.033,2,282.828706,0,5,1
2,visual,different_sds,1,1,0,13.70463455,0.033,2,345.3522987,0,4,1
2,visual,different_sds,2,1,1,-0.912257095,0.05,2,43.05312796,0,5,2
3,visual,different_sds,1,4,1,-7.317150057,0.067,1,137.890139,0,1,3
3,visual,different_sds,2,1,0,-0.798691237,0.033,1,14.58728626,0,5,1
3,visual,different_sds,1,2,1,0.171539023,0.033,1,133.1307921,1,3,1
3,visual,different_sds,1,2,1,2.293746406,0.05,1,80.2957763,1,3,2
